ID	Gene.symbol	Gene.title	log2(fold change)	-log(pvalue)
213274_s_at	CTSB	cathepsin B	-1.287	3.742
1563445_x_at	CTSLP8	cathepsin L pseudogene 8	-0.987	3.864
204470_at	CXCL1	C-X-C motif chemokine ligand 1	-4.116	3.328
229800_at	DCLK1	doublecortin like kinase 1	2.096	3.706
205337_at	DCT	dopachrome tautomerase	3.181	3.459
201584_s_at	DDX39A	DEAD-box helicase 39A	-1.518	4.495
217754_at	DDX56	DEAD-box helicase 56	-0.821	4.29
209250_at	DEGS1	delta 4-desaturase, sphingolipid 1	1.007	3.498
234347_s_at	DENR	density regulated re-initiation and release factor	-0.781	4.345
205545_x_at	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	-0.827	6.268
212491_s_at	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	-1.208	5.09
226916_x_at	DPP9	dipeptidyl peptidase 9	-0.829	3.539
207654_x_at	DR1	down-regulator of transcription 1	-0.87	3.418
209188_x_at	DR1	down-regulator of transcription 1	-0.995	3.592
216652_s_at	DR1	down-regulator of transcription 1	-1.112	3.842
217309_s_at	DSCR3	DSCR3 arrestin fold containing	-0.865	3.571
1553984_s_at	DTYMK	deoxythymidylate kinase	-0.956	4.487
211928_at	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	-0.607	3.893
204271_s_at	EDNRB	endothelin receptor type B	2.912	6.19
204273_at	EDNRB	endothelin receptor type B	1.619	4.981
206701_x_at	EDNRB	endothelin receptor type B	2.869	5.922
201983_s_at	EGFR	epidermal growth factor receptor	-0.93	3.346
206115_at	EGR3	early growth response 3	2.694	3.527
205341_at	EHD2	EH domain containing 2	-1.451	3.688
45297_at	EHD2	EH domain containing 2	-1.391	3.342
208756_at	EIF3I	eukaryotic translation initiation factor 3 subunit I	-0.846	4.092
221539_at	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	-2.164	4.912
201231_s_at	ENO1	enolase 1	-1.212	5.055
216554_s_at	ENO1	enolase 1	-1.605	5.622
217294_s_at	ENO1	enolase 1	-1.275	5.155
218498_s_at	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	-1.196	3.523
222646_s_at	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	-1.388	3.457
225750_at	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	-2.202	5.341
201329_s_at	ETS2	ETS proto-oncogene 2, transcription factor	-1.16	3.967
241193_at	ETS2	ETS proto-oncogene 2, transcription factor	-1.688	3.416
210011_s_at	EWSR1	EWS RNA binding protein 1	-0.63	3.64
207547_s_at	FAM107A	family with sequence similarity 107 member A	0.94	3.817
1554547_at	FAM13C	family with sequence similarity 13 member C	2.201	8.761
209683_at	FAM49A	family with sequence similarity 49 member A	1.152	3.711
238460_at	FAM83A	family with sequence similarity 83 member A	-2.502	4.086
238741_at	FAM83A	family with sequence similarity 83 member A	-2.354	3.914
239586_at	FAM83A	family with sequence similarity 83 member A	-3.057	5.171
242944_at	FAM83A	family with sequence similarity 83 member A	-2.033	3.64
203420_at	FAM8A1	family with sequence similarity 8 member A1	0.763	3.457
220127_s_at	FBXL12	F-box and leucine rich repeat protein 12	-1.07	3.777
205510_s_at	FLJ10038	uncharacterized protein FLJ10038	0.975	5.373
213746_s_at	FLNA	filamin A	-2.133	3.413
208613_s_at	FLNB	filamin B	-1.272	3.485
1570156_s_at	FMN1	formin 1	1.708	3.522
226145_s_at	FRAS1	Fraser extracellular matrix complex subunit 1	2.64	3.777
212788_x_at	FTL	ferritin light chain	-1.338	4.774
213187_x_at	FTL	ferritin light chain	-1.644	3.984
203091_at	FUBP1	far upstream element binding protein 1	-0.866	4.139
200959_at	FUS	FUS RNA binding protein	-0.732	3.749
217370_x_at	FUS	FUS RNA binding protein	-0.667	3.548
218084_x_at	FXYD5	FXYD domain containing ion transport regulator 5	-1.923	3.388
201514_s_at	G3BP1	G3BP stress granule assembly factor 1	-1.102	3.486
202528_at	GALE	UDP-galactose-4-epimerase	-0.724	3.617
202192_s_at	GAS7	growth arrest specific 7	2.495	3.578
210872_x_at	GAS7	growth arrest specific 7	2.179	3.46
216733_s_at	GATM	glycine amidinotransferase	2.9	3.969
231686_at	GATM	glycine amidinotransferase	2.39	3.681
226214_at	GDE1	glycerophosphodiester phosphodiesterase 1	1.19	5.419
228376_at	GGTA1P	glycoprotein, alpha-galactosyltransferase 1 pseudogene	1.767	7.202
229367_s_at	GIMAP6	GTPase, IMAP family member 6	0.903	4.334
225706_at	GLCCI1	glucocorticoid induced 1	0.968	3.974
230360_at	GLDN	gliomedin	1.942	3.702
206662_at	GLRX	glutaredoxin	2.247	3.988
207157_s_at	GNG5	G protein subunit gamma 5	-0.957	5.225
224634_at	GPATCH4	G-patch domain containing 4	-0.729	4.008
229055_at	GPR68	G protein-coupled receptor 68	-2.678	4.01
203108_at	GPRC5A	G protein-coupled receptor class C group 5 member A	-2.9	3.407
235563_at	GPRC5A	G protein-coupled receptor class C group 5 member A	-3.031	3.664
219313_at	GRAMD1C	GRAM domain containing 1C	2.372	4.15
204315_s_at	GTSE1	G2 and S-phase expressed 1	-0.81	4.638
223252_at	HDGFRP2	hepatoma-derived growth factor-related protein 2	-0.73	3.405
221767_x_at	HDLBP	high density lipoprotein binding protein	-0.597	3.424
208583_x_at	HIST1H2AJ	histone cluster 1, H2aj	-1.392	3.415
208576_s_at	HIST1H3B	histone cluster 1, H3b	-2.46	3.428
204753_s_at	HLF	HLF, PAR bZIP transcription factor	1.897	3.365
204755_x_at	HLF	HLF, PAR bZIP transcription factor	2.458	4.344
217755_at	HN1	hematological and neurological expressed 1	-1.671	5.345
222396_at	HN1	hematological and neurological expressed 1	-0.994	4.216
212109_at	HN1L	hematological and neurological expressed 1 like	-1.129	4.785
204112_s_at	HNMT	histamine N-methyltransferase	1.906	4.733
228772_at	HNMT	histamine N-methyltransferase	0.774	4.15
236104_at	HNRNPLL	heterogeneous nuclear ribonucleoprotein L like	1.775	5.617
200072_s_at	HNRNPM	heterogeneous nuclear ribonucleoprotein M	-0.696	4.982
216855_s_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U	-1.09	3.484
203913_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3.773	3.842
203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3.58	3.809
205580_s_at	HRH1	histamine receptor H1	-2.072	3.959
200942_s_at	HSBP1	heat shock factor binding protein 1	-0.56	3.808
230621_at	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog	-0.578	4.414
209291_at	ID4	inhibitor of DNA binding 4, HLH protein	2.476	3.395
209292_at	ID4	inhibitor of DNA binding 4, HLH protein	1.917	4.594
209100_at	IFRD2	interferon related developmental regulator 2	-1.256	3.898
206693_at	IL7	interleukin 7	1.495	4.614
210511_s_at	INHBA	inhibin beta A subunit	-3.673	3.621
213446_s_at	IQGAP1	IQ motif containing GTPase activating protein 1	-0.709	4.888
1556151_at	ITFG1	integrin alpha FG-GAP repeat containing 1	0.944	3.928
201389_at	ITGA5	integrin subunit alpha 5	-2.1	4.133
1557080_s_at	ITGBL1	integrin subunit beta like 1	1.714	4.895
205422_s_at	ITGBL1	integrin subunit beta like 1	1.948	6.443
214927_at	ITGBL1	integrin subunit beta like 1	2.575	4.76
231993_at	ITGBL1	integrin subunit beta like 1	2.223	7.542
202746_at	ITM2A	integral membrane protein 2A	2.879	7.278
202747_s_at	ITM2A	integral membrane protein 2A	2.252	4.992
217731_s_at	ITM2B	integral membrane protein 2B	0.809	4.792
209171_at	ITPA	inosine triphosphatase	-0.807	3.592
201751_at	JOSD1	Josephin domain containing 1	-1.352	4.217
201464_x_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	-0.888	4.17
