ID	Gene.symbol	Gene.title	log2(fold change)	-log(pvalue)
212520_s_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	-1.405	3.507
212167_s_at	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	-1.032	3.354
236016_at	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	1.332	3.423
201077_s_at	SNU13///ANXA2	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)///annexin A2	-1.057	5.896
1553148_a_at	SNX13	sorting nexin 13	0.559	4.778
200991_s_at	SNX17	sorting nexin 17	-1.487	4.007
229331_at	SPATA18	spermatogenesis associated 18	1.495	6.384
238459_x_at	SPATA6	spermatogenesis associated 6	1.735	3.914
213003_s_at	SPIDR	scaffolding protein involved in DNA repair	-1.003	3.741
1569138_a_at	SRCAP	Snf2-related CREBBP activator protein	-0.895	3.858
233888_s_at	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	-1.902	3.446
201516_at	SRM	spermidine synthase	-1.372	4.098
226662_at	STX17	syntaxin 17	0.826	3.415
200739_s_at	SUMO3	small ubiquitin-like modifier 3	-1.149	4.344
225720_at	SYNPO2	synaptopodin 2	2.053	4.928
225895_at	SYNPO2	synaptopodin 2	1.452	4.545
244108_at	SYNPO2	synaptopodin 2	0.995	3.977
200916_at	TAGLN2	transgelin 2	-1.08	3.877
225308_s_at	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	1.14	3.474
209451_at	TANK	TRAF family member associated NFKB activator	0.781	4.012
209152_s_at	TCF3	transcription factor 3	-1.148	4.15
213730_x_at	TCF3	transcription factor 3	-0.93	3.437
213811_x_at	TCF3	transcription factor 3	-0.845	3.871
202385_s_at	TCOF1	treacle ribosome biogenesis factor 1	-1.541	4.917
1553861_at	TCP11L2	t-complex 11 like 2	1.355	4.074
202719_s_at	TES	testin LIM domain protein	-1.227	3.885
205015_s_at	TGFA	transforming growth factor alpha	-1.742	3.681
204731_at	TGFBR3	transforming growth factor beta receptor 3	2.913	7.882
226625_at	TGFBR3	transforming growth factor beta receptor 3	3.038	5.054
222439_s_at	THRAP3	thyroid hormone receptor associated protein 3	-0.734	3.381
213191_at	TICAM1	toll like receptor adaptor molecule 1	-1.127	4.953
222845_x_at	TMBIM4	transmembrane BAX inhibitor motif containing 4	0.605	3.404
219750_at	TMEM144	transmembrane protein 144	1.253	3.605
217899_at	TMEM214	transmembrane protein 214	-0.97	4.062
226338_at	TMEM55A	transmembrane protein 55A	1.164	3.561
217733_s_at	TMSB10	thymosin beta 10	-0.948	6.737
218368_s_at	TNFRSF12A	TNF receptor superfamily member 12A	-1.626	3.487
224090_s_at	TNFRSF19	TNF receptor superfamily member 19	2.337	4.363
227812_at	TNFRSF19	TNF receptor superfamily member 19	3.35	4.045
224705_s_at	TNRC6A	trinucleotide repeat containing 6A	0.81	3.67
201379_s_at	TPD52L2	tumor protein D52 like 2	-0.987	3.469
222976_s_at	TPM3	tropomyosin 3	-0.69	5.341
209344_at	TPM4	tropomyosin 4	-1.138	4.676
244334_at	TRAM1L1	translocation associated membrane protein 1-like 1	2.181	3.734
202734_at	TRIP10	thyroid hormone receptor interactor 10	-2.032	5.338
222768_s_at	TRMT6	tRNA methyltransferase 6	-0.783	3.415
201504_s_at	TSN	translin	-0.691	3.724
213104_at	TSR3	TSR3, acp transferase ribosome maturation factor	-1.006	4.146
201090_x_at	TUBA1B	tubulin alpha 1b	-0.538	4.77
211058_x_at	TUBA1B	tubulin alpha 1b	-0.538	4.779
211072_x_at	TUBA1B	tubulin alpha 1b	-0.581	4.871
212639_x_at	TUBA1B	tubulin alpha 1b	-0.786	5.623
213646_x_at	TUBA1B	tubulin alpha 1b	-0.585	4.447
209251_x_at	TUBA1C	tubulin alpha 1c	-0.603	5.015
211750_x_at	TUBA1C	tubulin alpha 1c	-0.7	5.404
209026_x_at	TUBB	tubulin beta class I	-1.082	4.225
211714_x_at	TUBB	tubulin beta class I	-1.021	4.157
209191_at	TUBB6	tubulin beta 6 class V	-0.634	3.641
222244_s_at	TUG1	taurine up-regulated 1 (non-protein coding)	-0.576	4.445
217497_at	TYMP	thymidine phosphorylase	-1.882	3.908
218289_s_at	UBA5	ubiquitin like modifier activating enzyme 5	0.772	3.395
221962_s_at	UBE2H	ubiquitin conjugating enzyme E2 H	-0.998	4.404
211575_s_at	UBE3A	ubiquitin protein ligase E3A	0.604	3.662
201534_s_at	UBL3	ubiquitin like 3	1.302	4.192
201535_at	UBL3	ubiquitin like 3	1.906	3.44
218011_at	UBL5	ubiquitin like 5	-0.603	3.519
230029_x_at	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	0.952	4.286
203234_at	UPP1	uridine phosphorylase 1	-3.03	3.353
1554016_a_at	USB1	U6 snRNA biogenesis phosphodiesterase 1	-1.753	5.962
218060_s_at	USB1	U6 snRNA biogenesis phosphodiesterase 1	-1.642	4.208
227572_at	USP30	ubiquitin specific peptidase 30	1.095	4.743
214792_x_at	VAMP2	vesicle associated membrane protein 2	0.849	3.336
221704_s_at	VPS37B	VPS37B, ESCRT-I subunit	-0.635	3.33
1560060_s_at	VPS37C	VPS37C, ESCRT-I subunit	0.513	3.372
202261_at	VPS72	vacuolar protein sorting 72 homolog	-1.139	4.064
238660_at	WDFY3	WD repeat and FYVE domain containing 3	1.122	3.623
223055_s_at	XPO5	exportin 5	-1.069	4.383
222581_at	XPR1	xenotropic and polytropic retrovirus receptor 1	-1.363	3.966
200792_at	XRCC6	X-ray repair cross complementing 6	-0.581	3.32
217784_at	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)	-1.691	4.725
201020_at	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	-0.946	4.023
222757_s_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	-1.767	3.655
223519_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	-2.06	4.067
225662_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	-1.904	4.151
238613_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	-1.675	4.189
204799_at	ZBED4	zinc finger BED-type containing 4	-0.995	3.607
1559399_s_at	ZCCHC10	zinc finger CCHC-type containing 10	-1.388	3.488
226912_at	ZDHHC23	zinc finger DHHC-type containing 23	1.546	3.43
212124_at	ZMIZ1	zinc finger MIZ-type containing 1	0.824	3.913
1563745_a_at	ZMIZ1-AS1	ZMIZ1 antisense RNA 1	0.641	6.979
200828_s_at	ZNF207	zinc finger protein 207	-0.663	3.837
204175_at	ZNF593	zinc finger protein 593	-1.032	3.93
225266_at	ZNF652	zinc finger protein 652	1	5.972
235577_at	ZNF652	zinc finger protein 652	1.057	5.6
243495_s_at	ZNF652	zinc finger protein 652	0.882	4.754
242915_at	ZNF682	zinc finger protein 682	2.66	4.391
208540_x_at			-0.701	6.27
209535_s_at			1.174	3.905
210748_at			-0.858	4.798
213813_x_at			-1.078	4.009
216297_at			1.15	5.909
224346_at			-1.4	4.499
226138_s_at			-1.336	3.675
226579_at			-0.724	3.613
230410_at			-2.024	3.781
230599_at			1.347	3.376
230714_s_at			-1.356	3.496
231615_at			0.85	5.199
234357_at			1.172	3.862
235422_at			1.243	3.895
238492_at			0.937	3.553
240977_at			1.157	4.666
241721_at			1.184	4.424
242379_at			2.605	5.065
243718_at			1.173	3.595
244534_at			0.965	3.356
244757_at			0.56	3.352
