symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
HDAC9	0.1349583567127729	0.18267846599268492	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7863556598638632	No data	No data	1	0	0	1	1	0	0.6024299999999997	No data	-0.8177606177606178	-0.48380956040314754	0	No data	No data	0	-1	-1
CXCL8	0.13490380776854966	0.15113835107288914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9206096617323956	No data	No data	0.2	0	1	1	1	0	No data	No data	0.8605626034197462	No data	0	255	No data	0	1	0
WTAP	0.13435048573777617	No data	0.20653334114450417	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.289260124900658	No data	No data	No data	0	0	0	0	0	0.8106050000000004	No data	-0.851296194153337	0	-1	No data	No data	No data	-1	-1
FYN	0.13405654119405375	0.1767389924389785	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8754767699251226	No data	No data	1	1	0	1	1	0	0.972065	0	-0.9472697186982901	-0.7389478509814054	0	255	No data	-0.3621974999999999	-1	-1
PIK3CD	0.13366546945721167	0.14438356443276001	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9169120900816418	0.017605732450547	No data	1	0	0	1	1	0	0.7317999999999998	1	-0.9367898510755653	-0.2596453623311612	0	No data	No data	0	0.5	0
IRX3	0.1334038706308674	No data	0.19328132615419338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5231582252780006	No data	No data	No data	0	0	0	0	0	0.6107799999999998	No data	0.061003861003861015	-0.8718418061045013	0	No data	No data	0	0.5	0
ASAP1	0.1324184303902721	No data	0.21102041925085058	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1359568759799524	No data	No data	No data	1	0	0	0	0	0.7298499999999997	No data	-0.7531163816878103	-0.8564889267621045	0	No data	No data	0	-1	-1
MXD3	0.13191425031081583	No data	0.20550198824739532	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22973873711409165	No data	No data	No data	0	0	0	0	0	0.19902999999999976	No data	0.3523441809156096	No data	0	No data	No data	0	0.5	0
E2F1	0.13148750304437604	No data	0.12369491735223338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9268161445799585	No data	No data	0.7	0	0	0	0	0	0.2219700000000003	No data	-0.7962493105350248	-0.724849366628218	0	255	No data	0	0.5	0
HDAC10	0.1309033984944007	0.18267846599268492	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6529536925905182	No data	No data	1	0	0	1	1	0	0	1	0.5142857142857142	0	0	No data	No data	0	-1	0
MS4A1	0.13037225122952778	0.16929184016823612	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8606474683054759	No data	No data	1	1	0	0	0	0	0	No data	0.036845008273579616	-0.06618660464602966	0	No data	No data	0	1	0
HDAC5	0.1298427100148484	0.18267846599268492	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6180586524405732	No data	No data	1	0	0	1	1	0	0.7459899999999997	0	-0.9084390512961942	-0.11714988940104198	0	No data	No data	0	-1	-1
HAVCR2	0.12954044929814898	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9134383140337784	No data	No data	1	1	0	1	1	0	0	No data	-0.3004964147821291	-0.5667061377600163	0	No data	No data	0	-1	-1
LGALS3	0.12928287185449555	0.13678442946261474	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8923219999276372	No data	No data	0.2	1	1	1	1	0	0.2	No data	0.3205736348593491	-0.9479192097519068	0	255	No data	0	0.5	-1
HDAC2	0.1291216221783388	0.19036096765980343	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44068592436575826	No data	No data	1	0	0	1	1	0	0.9795099999999998	1	-0.8295642581356867	-0.9510211990123876	0	No data	No data	-0.6260249999999999	-1	-1
CSF2	0.12850813704753825	0.11398702455217895	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9144468564185428	No data	No data	0.7	0	1	0	0	0	0	No data	-0.5455046883618312	-0.907630548211091	0	No data	No data	No data	0.5	1
TLR7	0.12844220674784343	0.189229627332209	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44096099505676933	No data	No data	1	0	0	1	1	0	0.04194499999999977	0	No data	-0.8571950431104471	0	No data	No data	0	0.5	0
CD40	0.12663236450652	0.16462629869693984	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8357202467538527	No data	No data	0.2	1	1	0	1	0	0	No data	-0.4698290126861555	-0.2546557938051766	0	255	No data	0	0.5	0
PIK3CG	0.12659112280253235	0.15113835107288914	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8522409839266701	No data	No data	1	1	0	1	1	1	0.7050800000000003	1	-0.49498069498069497	-0.8896140684953482	0	255	No data	0	0.75	0
PRKCA	0.12618272626507135	0.1131426762221628	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8963766710235408	No data	No data	1	1	0	1	1	1	0.9702399999999998	No data	-0.7977937120794264	-0.7603896334472532	0	255	No data	-0.5089275000000001	0.5	0
CD248	0.12559816357754933	0.1654922726831635	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8221433868753931	No data	No data	0.2	1	0	0	0	0	0	No data	0.7380033094318807	0	0	No data	No data	0	0.5	0
SOD2	0.1254929755020534	No data	0.1823458374002872	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4816115645942398	No data	No data	No data	0	0	0	0	1	0.43693499999999974	No data	No data	-0.9734577192742119	0	255	No data	No data	0.5	-1
NPAS4	0.1254022691193862	No data	0.20627721051812864	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6446399999999997	No data	-0.9343629343629344	-0.7865130320174618	0	No data	No data	0	0.75	0.5
MCAM	0.1250992075049616	0.06079307976116211	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9529021361725899	No data	No data	0.1	1	0	0	0	0	0	No data	-0.17286265857694427	0	0	No data	No data	0	0.75	-1
FCGRT	0.12497845367565844	No data	0.20346075198647715	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	1	1	0	0	1	0	0	No data	-0.4281301709873139	0	0	No data	No data	0	-1	-1
RARB	0.12272216807813666	0.17119162391077247	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6135404780577146	No data	No data	1	0	0	1	1	0	0.921875	0	-0.7118587975730832	-0.7107767950484414	0	255	No data	-0.3526775000000001	-1	0
GMEB2	0.12260961470306454	No data	0.20168350605819146	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6981149999999999	No data	-0.8293436293436294	-0.07751386270003602	0	No data	No data	0	-1	-1
PTK2	0.12235792016156227	0.07599134970145263	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9113582511200214	No data	No data	0.7	0	0	1	1	1	0.8448900000000001	1	-0.7963596249310535	-0.9565398899306573	0	255	No data	0	-1	-1
CDK9	0.12221099871556104	0.16591444684817158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7022673235744991	No data	No data	0.7	0	0	1	1	1	0.9327950000000002	1	0.29873138444567027	0	-1	No data	No data	0	-1	-1
HS3ST3B1	0.12179505140314087	No data	0.20034361128213496	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.42307500000000003	No data	0.7130722559293987	-0.5771476184772847	0	No data	No data	-0.4038450000000001	0.5	0
TMEM170B	0.12177282446910266	No data	0.20030704966340215	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.886365	No data	0.012906784335355859	No data	0	No data	No data	0	0.5	0
RPL17	0.12106719678065091	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9957317284819903	No data	No data	1	0	0	1	1	0	No data	No data	-0.9658025372311086	No data	-1	No data	No data	No data	-1	-1
HDAC1	0.12101412531152574	0.19036096765980343	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17396158999530006	No data	No data	1	0	0	1	1	0	0.9688800000000001	1	-0.6560397131825704	-0.5571626338178093	0	255	No data	-0.6524899999999999	-1	-1
CDK2	0.1208572728492806	0.16834617003861804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5995367561821452	0.02151130147847454	No data	0.7	1	0	1	1	1	0.9496650000000002	1	-0.8062879205736349	-0.6865336964206381	-1	255	No data	-0.38758499999999996	-1	-1
MSX2	0.1206018499397354	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9191351109174941	No data	0.29107726589644417	No data	0	0	0	0	0	0.62547	No data	0.08008825151682286	-0.32840498485950165	0	No data	No data	0	0.5	0
FGF9	0.12012011098353308	No data	0.1823458374002872	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04138985174779977	No data	0.28645699183459583	No data	0	1	0	0	0	0.9759599999999999	No data	-0.7741864313292884	-0.9669409788526723	0	No data	No data	-0.2668275000000001	0.5	0.5
FAP	0.11997888169702774	0.06079307976116211	0.03354282796756788	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8921544959870107	No data	No data	0.2	1	1	1	1	1	0.480265	No data	-0.13403199117484832	No data	0	No data	No data	0	0.5	0
TNFSF11	0.11997214497489535	0.16211487936309896	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7046037852702286	No data	No data	1	1	1	1	1	0	0.16403999999999996	No data	-0.5652509652509652	-0.6689671706490188	0	No data	No data	0	0.5	0.5
NDUFS3	0.11972975702061585	0.15831531187802633	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7726209393812692	No data	No data	1	0	0	0	0	0	0.3560600000000001	No data	-0.19349145063430773	-0.7604864403007968	0	No data	No data	No data	0.5	-1
SOX10	0.11968417352624275	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9820509816796766	0.009223622484135769	No data	No data	0	0	0	0	0	0.924895	No data	-0.9256480970766685	-0.9538273898946095	0	255	No data	0	0.75	0
CD8A	0.11961670996595287	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9838020251309136	No data	No data	No data	1	0	0	0	0	0	No data	0.6824048538334253	-0.10652540981994113	0	No data	No data	No data	1	0
HMGB1	0.1191910793544229	0.09118961964174316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8663143503961631	No data	No data	0.7	0	1	1	1	0	0.9534900000000001	No data	-0.973303916161059	-0.7140032602906012	0	No data	No data	-0.8255825000000001	-1	-1
SNCA	0.11908906336151684	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9794623321386438	No data	No data	0.7	0	1	1	1	0	0.75	0	-0.44732487589630443	-0.7094412495655061	0	No data	No data	-0.03571500000000007	0.75	-1
TNF	0.11900162036338337	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9787431466780863	No data	No data	1	1	1	1	1	1	0	0	-0.5784886927744071	-0.9827379260198055	0	255	No data	0	0.5	0.5
RPL17-C18orf32	0.11863545924514983	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9757316104993626	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	-0.8081632653061225	No data	No data	No data	No data	No data	0.5	-1
SPATA2	0.11863545924514983	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9757316104993626	No data	No data	No data	0	0	0	0	0	0.2307699999999997	No data	-0.7913954771097629	0	0	No data	No data	0	-1	-1
PPA2	0.1184820605784305	No data	0.19337416594712675	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.5351351351351352	-0.4025292816482848	0	No data	No data	0	-1	-1
TGFB1	0.1183825713598555	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9736517036556245	No data	No data	1	1	1	0	1	0	0.5	No data	-0.4624379481522338	-0.9810848334452651	0	255	No data	0	-1	0
NGFR	0.1183651253030283	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9735082164618867	No data	No data	No data	1	0	1	1	0	0.5901649999999996	No data	0.24986210700496425	-0.9478575993434432	0	No data	No data	0	-1	0
IFNG	0.11826704420560435	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9727015366735846	No data	No data	1	0	1	0	1	0	0	No data	0.22371759514616651	-0.9682076841562822	0	No data	No data	No data	0.75	0.5
RIPK4	0.11776739888570431	No data	0.07025041008547885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8807791310086528	No data	No data	No data	1	0	1	1	0	0.52806	No data	-0.5986762272476558	-0.6229262369885915	0	No data	No data	0	0.5	0
HDAC11	0.11766348566095161	0.18403692863919976	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19021141439271605	No data	No data	1	0	0	1	1	0	0.6109499999999997	No data	-0.2769994484280198	0	0	No data	No data	0	0.5	0
MCL1	0.11752787310943055	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9666221350453253	No data	No data	0.7	0	0	1	1	0	0	1	-0.8008825151682295	-0.1928430636128997	-1	No data	No data	0	0.5	-1
SPARC	0.11749733616978714	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8992250237143776	No data	0.26858382638481415	No data	0	1	0	0	0	0.6204599999999999	No data	-0.21478212906784333	-0.31171773087039195	0	No data	No data	0	-1	-1
SPP1	0.11704242408473753	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9515000461885693	0.04451781974762683	No data	0.15	0	1	0	0	0	0	No data	0.5459459459459459	-0.9703598506673128	0	No data	No data	No data	0.5	0
CSPG4	0.11695183414449045	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9618844332608198	No data	No data	No data	1	0	0	0	0	0.17312500000000028	No data	-0.4441257584114727	-0.6817207796483638	0	No data	No data	No data	0.5	0
WNT5A	0.1169026692782276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9614800709020116	No data	No data	No data	0	1	0	0	0	0.9342100000000002	No data	-0.7546607832322119	-0.9260647485253187	0	No data	No data	-0.401315	0.5	0
NAMPT	0.11673804829417578	0.12158615952232422	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8081434264061899	No data	No data	0.2	0	1	1	1	1	0.7861499999999999	1	-0.858246001103144	-0.24687360160639021	0	No data	No data	0	0.5	-1
IGF1R	0.11672046752395002	0.12158615952232422	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.807998831245895	No data	No data	1	1	0	1	1	1	0.8061450000000001	1	-0.8034197462768892	-0.8135052838576268	0	255	No data	0	-1	0
RCN3	0.11666522265841213	No data	0.18977978560004863	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.042512938416312665	No data	No data	No data	0	0	0	0	0	0.6341450000000002	No data	0.8188637617209045	-0.7014117698180014	0	No data	No data	0	-1	-1
YY1AP1	0.11666292694660325	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9595082812462958	No data	No data	No data	0	0	0	0	0	0	No data	0.5305019305019305	0	0	No data	No data	-0.8266674999999999	-1	-1
MAP2K7	0.1163191913976546	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9566811868607252	No data	No data	No data	1	0	1	1	0	0.9164700000000003	1	-0.7361279646993932	0	0	255	No data	0	-1	-1
PPP1R14B	0.11631299299032073	No data	0.18737449127826958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07903100368951074	No data	No data	No data	0	0	0	0	0	0	No data	-0.49773855488141205	No data	-1	No data	No data	0	-1	-1
PARP2	0.1161347077439624	0.18571338129113574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1063878895820337	No data	No data	1	0	0	1	1	0	0.2631599999999999	1	0.12807501378929942	-0.5939794994359995	0	No data	No data	0	-1	-1
GPD2	0.11596673642366928	0.15831531187802633	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6488232764982454	No data	No data	1	0	0	0	0	0	0.6630000000000003	No data	-0.29420849420849415	-0.7888429076592104	0	No data	No data	No data	-1	-1
CXCR2	0.11583069968455366	0.07599134970145263	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8576743408571089	No data	No data	0.7	1	0	1	1	0	0	No data	0.3233314947600663	-0.9000153174724181	0	No data	No data	-0.368055	0.5	0
SPATA33	0.11578770283982828	No data	0.18716479882338247	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06594360457426057	No data	No data	No data	0	0	0	0	0	No data	No data	0.8318808604522889	0	0	No data	No data	No data	1	-1
DNER	0.11576506819903556	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8878502503560611	No data	0.25709393430995453	No data	1	0	0	1	0	0.5183149999999997	No data	-0.6191947049089906	-0.29242926451983564	0	No data	No data	0	0.5	0
NFKB1	0.1157148387442724	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9517106157385142	No data	No data	0.7	0	0	1	1	0	0.36016499999999996	No data	-0.9677881963596249	-0.9127655388876762	0	255	No data	0	-1	-1
ARRDC3	0.11558253861665416	No data	0.1814614856177643	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.173260277319312	No data	No data	No data	1	0	0	0	0	0.90338	No data	-0.8676227247655819	-0.8465840273234843	0	No data	No data	0	-1	-1
PROM1	0.11552667214419848	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9501630168932741	No data	No data	No data	1	0	0	0	0	0	No data	0.2384997242140099	-0.8105613707108108	0	No data	No data	0	1	0
CEACAM1	0.11537397382263691	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9489071311727162	No data	No data	No data	1	1	0	0	0	No data	No data	-0.24412575841147266	-0.8095897995849191	0	No data	No data	-0.02566500000000005	0.5	0
FKBP1A	0.11536106371900183	0.18862876333214612	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02262853524443256	No data	No data	1	0	0	1	1	1	0.86111	1	0.31991174848317705	-0.9406943921665206	0	No data	No data	-0.88426	-1	-1
IL6	0.11534131107230884	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9486384924521877	No data	No data	1	0	1	1	1	0	0	No data	-0.1521235521235521	-0.9761123172086772	0	255	No data	No data	0.5	0
FGR	0.11531203611686289	0.1767389924389785	0.0415981493024471	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11434561411845723	No data	No data	1	1	0	1	1	0	0.19659499999999994	No data	-0.6249310535024821	-0.46968581511293017	0	No data	No data	-0.2911149999999999	0.75	0
PRKCD	0.11523324760216185	0.1131426762221628	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8063213661604974	No data	No data	1	0	0	1	1	0	0.5192300000000003	No data	-0.8505239933811363	-0.897525932021603	0	255	No data	-0.11982250000000008	-1	-1
IL17A	0.11506123184630028	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8703435974532364	No data	No data	1	0	1	1	1	0	0	No data	-0.3253171538885825	-0.8362821336384804	0	No data	No data	0	0.5	1
TNFSF10	0.11501328336690937	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9459405891160826	No data	No data	No data	1	1	0	1	0	0	0	-0.27556536127964704	-0.740424759721138	0	No data	No data	0	-1	-1
CDH2	0.11500476851647305	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9458705577040388	No data	No data	No data	1	0	0	1	0	0.8399549999999998	No data	-0.8583563154991727	-0.9364303804630042	0	No data	No data	-0.1390725	0.5	0
ICAM1	0.11480498518872927	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9442274156841851	No data	No data	0.7	1	0	1	1	0	0	No data	-0.1612796469939327	-0.8956402278528932	0	255	No data	0	0.5	-1
IL24	0.11466650278885142	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9430884505221805	No data	No data	No data	0	1	0	0	0	0	No data	0.43375620518477653	-0.4547431408224101	0	No data	No data	0	0.5	0.5
MLANA	0.11464275937357137	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9219266927801191	0.08386590866375572	No data	No data	0	0	0	0	0	0	No data	0.9610590182018754	0	0	No data	No data	No data	1	0.5
PTGER2	0.11441708666193251	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9410370975729732	No data	No data	1	1	0	1	1	0	0.3575400000000002	1	0.444015444015444	-0.8784443425957417	0	255	No data	0	0.5	0
EDNRB	0.11417624000454214	0.1473387835878165	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6759405106860159	0.04606908746138971	0.27448075512164694	1	1	0	1	1	0	0.4457000000000001	1	-0.5883066740209597	-0.9605529715999295	0	255	No data	0	0.5	0
IFNA1	0.11417014027248944	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9390060572768305	No data	No data	1	0	1	0	0	0	0	No data	0.8764478764478765	No data	0	No data	No data	-0.9867725	No data	No data
IMPA2	0.11408638147807937	No data	0.18614360760459756	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	1	0.53125	No data	0.4227247655819084	0	0	No data	No data	0	0.5	0
TAFAZZIN	0.11398801501781503	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9375081462038111	No data	No data	No data	0	0	0	0	0	0.36644000000000004	No data	No data	0	0	No data	No data	No data	-1	-1
ABCB5	0.11387689592149657	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9365942338246799	No data	No data	No data	1	0	0	0	0	0	No data	0.35929398786541644	-0.21895317861414215	0	255	No data	0	1	0.5
MT-CO2	0.11382852044006733	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9361963638564264	No data	No data	No data	0	0	1	1	0	0	No data	No data	No data	No data	No data	No data	No data	0.5	-1
MTCO2P12	0.11382847311452284	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9361959746217906	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD4	0.11341447688669369	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9327910128279844	No data	No data	1	1	0	0	1	0	0	No data	-0.47346938775510206	-0.2513880957968287	0	No data	No data	No data	0.5	-1
GABPA	0.11329147207813184	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9317793449782463	No data	No data	No data	0	0	0	0	0	0.8017600000000001	No data	-0.997573083287369	-0.7511355559589328	-1	No data	No data	0	-1	-1
STAMBP	0.11325640904785624	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9314909648664527	No data	No data	No data	1	0	1	1	0	0.17453000000000002	No data	-0.23916161059018204	-0.7602420558477587	0	No data	No data	0	-1	-1
CD47	0.11324191133322344	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9313717266678803	No data	No data	0.7	1	0	0	1	0	0	No data	-0.40341974627688915	-0.9289684299859663	0	No data	No data	No data	-1	-1
CDK1	0.11315797084109779	0.16591444684817158	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.38625134265576483	0.04091650276191557	No data	0.7	0	0	1	1	0	0.8484850000000002	1	-0.6135686707115279	No data	-1	255	No data	-0.1329975000000001	0.5	0
POU3F2	0.11310394711208321	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9302370233292581	No data	No data	No data	0	0	0	0	0	1	No data	-0.2507446221731936	-0.7655416017409735	0	No data	No data	-0.08013499999999993	1	1
HDAC7	0.11303722420279333	0.18267846599268492	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06518369107724604	No data	No data	1	0	0	1	1	0	0.3138249999999999	No data	-0.8501930501930501	-0.8877072543201336	0	No data	No data	0	-1	-1
