symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
BRCA2	0.7130559054954924	No data	0.6770014387245429	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	0.921282558136256	No data	No data	0.607930797611621	No data	No data	No data	0.33542747781733157	No data	No data	No data	0	0	0	0	0	0	No data	-0.2824048538334253	-0.9475102956278109	0	No data	255	No data	0.5	0.5
TP53	0.6989936081969331	0.06079307976116211	0.5644599091328035	No data	0	No data	No data	No data	No data	No data	No data	0.7231005759422581	0.889554510140617	No data	No data	No data	No data	No data	0.9828056963986257	No data	0.3462773823195794	0.7	0	0	1	1	0	0	No data	-0.7412024269167126	-0.9870589005103775	0	255	255	0	-1	-1
IRF4	0.6979322282738717	No data	0.8821094097573772	No data	No data	No data	No data	No data	No data	No data	No data	0.8804580542687392	No data	No data	No data	No data	0.35908445160507224	No data	0.4577384353457516	0.02519914808271662	No data	No data	0	0	0	0	0	0.6119750000000004	No data	-0.8116933259790402	-0.12051871648629003	0	No data	No data	0	0.5	0
SF3B1	0.6960019752130107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9569538125098582	0.7013461675990964	No data	No data	No data	No data	No data	0.5661020352133279	No data	No data	No data	0	0	0	0	0	1	No data	-0.9942636514065085	-0.5588717436019691	-1	No data	255	No data	-1	-1
PPP6C	0.6955095061623361	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9165420986529114	0.8378561787071364	No data	No data	No data	No data	No data	0.812438195095909	No data	No data	No data	0	0	0	1	0	0.9836050000000001	No data	-0.7695532266960838	-0.19813303277206457	0	No data	255	-0.05737749999999995	-1	-1
MBD4	0.6910485050537976	No data	No data	No data	0.5953926346400029	0.8126852676405352	No data	0.607930797611621	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1662163706000867	No data	No data	No data	0	0	0	0	0	0	No data	0.10082735797021503	-0.8584209794110073	0	No data	No data	0	-1	-1
CTLA4	0.6899218485603348	0.9654585600221985	0.5947295801762509	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9327644059301081	No data	No data	1	1	0	0	0	0	0	No data	-0.9501378929950358	-0.7980572140718347	0	255	No data	0	1	0
RAF1	0.6882792703558465	0.5746962670853221	No data	No data	0	No data	No data	No data	No data	No data	No data	0.8877814836617365	No data	No data	0.607930797611621	No data	0.3453046884052568	No data	0.8707837097831653	No data	No data	1	1	0	1	1	1	0.8842599999999997	0	-0.8434638720353006	-0.9801947588004845	0	255	255	0	0.5	-1
ERBB4	0.6770022825120524	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9319688416880227	0.21406641745286814	No data	0.607930797611621	No data	No data	No data	0.47045194107414895	No data	No data	1	1	0	1	1	1	0.8662100000000003	No data	-0.8409266409266409	-0.8553760567810827	0	No data	255	0	0.5	0
ATM	0.6654713788799157	No data	0.6034115764866621	No data	0	No data	No data	No data	No data	No data	No data	0.9045644612019365	0.2524612085392807	No data	No data	No data	No data	No data	0.887482022658126	0.01097011893128363	No data	No data	0	0	1	1	0	0.20974999999999966	1	-0.21092112520683948	-0.9382456172442318	0	255	255	0	-1	-1
