ID,Gene.symbol,Gene.title,log2(fold change),-log10(Pvalue)
224061_at,INMT,indolethylamine N-methyltransferase,-3.489,8.819
230472_at,IRX1,iroquois homeobox 1,-5.016,9.233
216331_at,ITGA7,integrin subunit alpha 7,-3.716,13.815
1553678_a_at,ITGB1,integrin subunit beta 1,3.158,9.008
205422_s_at,ITGBL1,integrin subunit beta like 1,3.324,8.242
1553243_at,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5,-3.748,14.708
219064_at,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5,-4.801,13.235
1552610_a_at,JAK1,Janus kinase 1,4.71,13.299
222379_at,KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4,4.199,4.128
204401_at,KCNN4,potassium calcium-activated channel subfamily N member 4,-3.362,8.816
200922_at,KDELR1,KDEL endoplasmic reticulum protein retention receptor 1,3.879,12.462
204017_at,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,3.351,11.582
207265_s_at,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,3.96,17.035
202503_s_at,KIAA0101,KIAA0101,4.601,11.221
215936_s_at,KIAA1033,KIAA1033,3.255,13.334
243349_at,KIAA1324,KIAA1324,03.07,7.197
238617_at,KIF26B,kinesin family member 26B,4.566,12.133
244276_at,KLB,klotho beta,-3.468,8.183
227875_at,KLHL13,kelch like family member 13,-5.514,13.405
229310_at,KLHL29,kelch like family member 29,-3.438,8.2
209351_at,KRT14,keratin 14,-4.524,4.978
204734_at,KRT15,keratin 15,-4.612,6.305
205157_s_at,KRT17///JUP,keratin 17///junction plakoglobin,-3.188,6.093
212236_x_at,KRT17///JUP,keratin 17///junction plakoglobin,-3.259,4.889
201820_at,KRT5,keratin 5,-4.285,6.355
209270_at,LAMB3,laminin subunit beta 3,-3.329,9.938
201551_s_at,LAMP1,lysosomal associated membrane protein 1,4.218,10.951
219463_at,LAMP5,lysosomal associated membrane protein family member 5,4.285,9.273
1554679_a_at,LAPTM4B,lysosomal protein transmembrane 4 beta,3.769,9.648
208952_s_at,LARP4B,La ribonucleoprotein domain family member 4B,3.529,15.793
208953_at,LARP4B,La ribonucleoprotein domain family member 4B,3.62,13.518
207092_at,LEP,leptin,-7.347,14.889
223828_s_at,LGALS12,galectin 12,-3.336,6.822
208936_x_at,LGALS8,galectin 8,3.096,8.5
227819_at,LGR6,leucine rich repeat containing G protein-coupled receptor 6,-3.192,11.242
1556206_at,LINC00408,long intergenic non-protein coding RNA 408,-3.858,11.653
208186_s_at,LIPE,"lipase E, hormone sensitive type",-3.481,11.374
1569872_a_at,LMF1,lipase maturation factor 1,-3.443,11.893
227984_at,LMF1,lipase maturation factor 1,-3.694,15.947
203766_s_at,LMOD1,leiomodin 1,-3.408,9.404
235060_at,LOC100190986,uncharacterized LOC100190986,4.551,9.833
235167_at,LOC100190986,uncharacterized LOC100190986,3.214,5.49
236656_s_at,LOC100288911,uncharacterized LOC100288911,-3.35,10.584
202350_s_at,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,-4.267,8.838
244655_at,LOC100507311,uncharacterized LOC100507311,-3.593,16.245
207414_s_at,LOC100507472///PCSK6,uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6,3.037,6.395
212671_s_at,LOC100509457///HLA-DQA2///HLA-DQA1,"HLA class II histocompatibility antigen, DQ alpha 1 chain-like///major histocompatibility complex, class II, DQ alpha 2///major histocompatibility complex, class II, DQ alpha 1",3.752,6.802
209616_s_at,LOC100653057///CES1,liver carboxylesterase 1-like///carboxylesterase 1,-4.122,7.127
237737_at,LOC101927345///LOC101060632///LOC101059949///ANKRD20A12P,"putative ankyrin repeat domain-containing protein 20A12 pseudogene///uncharacterized gene LOC101060632///putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene",-3.415,15.439
209362_at,LOC101928625///MED21,uncharacterized LOC101928625///mediator complex subunit 21,3.254,10.808
210186_s_at,LOC101929368///FKBP1A,uncharacterized LOC101929368///FK506 binding protein 1A,3.458,11.241
214119_s_at,LOC101929368///FKBP1A,uncharacterized LOC101929368///FK506 binding protein 1A,3.388,12.736
209699_x_at,LOC101930400///AKR1C2,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2",-5.265,11.218
211653_x_at,LOC101930400///AKR1C2,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2",-4.066,8.219
1556474_a_at,LOC285097,uncharacterized FLJ38379,4.783,8.098
1562527_at,LOC441666,zinc finger protein 91 pseudogene,-5.27,21.525
203570_at,LOXL1,lysyl oxidase like 1,3.226,9.364
203548_s_at,LPL,lipoprotein lipase,-4.934,7.115
203549_s_at,LPL,lipoprotein lipase,-5.487,13.836
228648_at,LRG1,leucine rich alpha-2-glycoprotein 1,3.077,5.426
213909_at,LRRC15,leucine rich repeat containing 15,5.625,10.175
1556427_s_at,LRRN4CL,LRRN4 C-terminal like,-3.791,7.266
202736_s_at,LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated",3.401,11.648
227443_at,LURAP1L,leucine rich adaptor protein 1 like,3.139,8.346
203007_x_at,LYPLA1,lysophospholipase I,3.474,12.499
219059_s_at,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,-3.667,9.557
200900_s_at,M6PR,"mannose-6-phosphate receptor, cation dependent",3.918,15.442
208633_s_at,MACF1,microtubule-actin crosslinking factor 1,3.219,9.165
223940_x_at,MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),3.184,9.623
224568_x_at,MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),4.575,8.716
227510_x_at,MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),5.059,11.236
228582_x_at,MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),5.953,13.052
235103_at,MAN2A1,mannosidase alpha class 2A member 1,3.994,14.535
204388_s_at,MAOA,monoamine oxidase A,-3.517,5.224
204389_at,MAOA,monoamine oxidase A,-3.07,5.366
212741_at,MAOA,monoamine oxidase A,-3.973,5.83
203553_s_at,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5,3.188,14.393
212271_at,MAPK1,mitogen-activated protein kinase 1,3.073,13.535
201461_s_at,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2,3.031,11.461
200712_s_at,MAPRE1,microtubule associated protein RP/EB family member 1,3.44,13.477
202654_x_at,MARCH7,membrane associated ring-CH-type finger 7,3.284,14.165
1558111_at,MBNL1,muscleblind like splicing regulator 1,3.052,7.671
209623_at,MCCC2,methylcrotonoyl-CoA carboxylase 2,3.219,9.535
209624_s_at,MCCC2,methylcrotonoyl-CoA carboxylase 2,3.18,7.821
200798_x_at,MCL1,BCL2 family apoptosis regulator,3.136,12.438
242706_s_at,MED23,mediator complex subunit 23,3.392,13.565
1554466_a_at,METTL26,methyltransferase like 26,3.62,11.719
203417_at,MFAP2,microfibrillar associated protein 2,4.787,14.587
206560_s_at,MIA,melanoma inhibitory activity,-3.494,11.029
228658_at,MIAT,myocardial infarction associated transcript (non-protein coding),3.887,8.424
212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",4.4,16.325
203637_s_at,MID1,midline 1,-3.041,7.285
1555996_s_at,MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2,"microRNA 1248///small nucleolar RNA, H/ACA box 81///small nucleolar RNA, H/ACA box 4///small nucleolar RNA, C/D box 2///small nucleolar RNA, H/ACA box 63///eukaryotic translation initiation factor 4A2",4.622,12.047
224917_at,MIR21///VMP1,microRNA 21///vacuole membrane protein 1,4.677,14.43
208750_s_at,MIR3620///ARF1,microRNA 3620///ADP ribosylation factor 1,5.331,14.441
204537_s_at,MIR452///MIR224///GABRE,microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit,-3.708,5.601
202731_at,MIR4680///PDCD4,microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor),3.132,9.754
212016_s_at,MIR4745///PTBP1,microRNA 4745///polypyrimidine tract binding protein 1,3.236,13.34
234989_at,MIR612///NEAT1,microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding),3.29,9.275
238320_at,MIR612///NEAT1,microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding),5.066,7.384
221163_s_at,MLXIPL,MLX interacting protein like,-3.129,10.141
203434_s_at,MME,membrane metallo-endopeptidase,-3.932,12.805
203435_s_at,MME,membrane metallo-endopeptidase,-3.913,16.982
203876_s_at,MMP11,matrix metallopeptidase 11,5.009,9.768
203878_s_at,MMP11,matrix metallopeptidase 11,6.245,14.98
205828_at,MMP3,matrix metallopeptidase 3,3.555,5.19
243857_at,MORF4L2,mortality factor 4 like 2,3.376,9.244
225185_at,MRAS,muscle RAS oncogene homolog,-3.102,12.395
232682_at,MREG,melanoregulin,3.185,11.102
217919_s_at,MRPL42,mitochondrial ribosomal protein L42,3.781,15.321
218398_at,MRPS30,mitochondrial ribosomal protein S30,3.787,6.858
223343_at,MS4A7,membrane spanning 4-domains A7,3.799,9.497
223344_s_at,MS4A7,membrane spanning 4-domains A7,5.571,10.823
224358_s_at,MS4A7,membrane spanning 4-domains A7,4.509,9.59
211450_s_at,MSH6,mutS homolog 6,3.654,12.958
225237_s_at,MSI2,musashi RNA binding protein 2,4.446,14.266
212093_s_at,MTUS1,microtubule associated tumor suppressor 1,3.034,10.106
207847_s_at,MUC1,"mucin 1, cell surface associated",4.048,12.16
229160_at,MUM1L1,MUM1 like 1,3.318,5.496
201497_x_at,MYH11,myosin heavy chain 11,-3.447,7.008
210480_s_at,MYO6,myosin VI,4.408,12.94
211864_s_at,MYOF,myoferlin,3.385,8.379
228568_at,MYZAP,myocardial zonula adherens protein,-3.261,7.627
222393_s_at,NAA50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",3.147,12.876
214440_at,NAT1,N-acetyltransferase 1,6.712,11.101
211685_s_at,NCALD,neurocalcin delta,-3.5,8.991
206453_s_at,NDRG2,NDRG family member 2,-3.107,11.324
58916_at,NDUFC2-KCTD14///KCTD14,NDUFC2-KCTD14 readthrough///potassium channel tetramerization domain containing 14,-3.254,10.043
232078_at,NECTIN2,nectin cell adhesion molecule 2,4.738,16.606
232079_s_at,NECTIN2,nectin cell adhesion molecule 2,3.941,15.826
1557950_at,NEMF,nuclear export mediator factor,3.044,11.166
218678_at,NES,nestin,-3.002,8.662
201830_s_at,NET1,neuroepithelial cell transforming 1,3.43,11.221
213029_at,NFIB,nuclear factor I B,-3.05,9.017
204114_at,NID2,nidogen 2,3.016,7.857
205895_s_at,NOLC1,nucleolar and coiled-body phosphoprotein 1,3.399,16.83
210756_s_at,NOTCH2,notch 2,3.26,12.684
215921_at,NPIPA5///NPIPB6///NPIPB8///NPIPB3,nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein family member B3,3.588,13.924
225911_at,NPNT,nephronectin,3.784,10.721
32625_at,NPR1,natriuretic peptide receptor 1,-4.41,15.967
201309_x_at,NREP,neuronal regeneration related protein,4.802,16.694
202600_s_at,NRIP1,nuclear receptor interacting protein 1,3.279,11.371
221795_at,NTRK2,neurotrophic receptor tyrosine kinase 2,-4.564,7.046
221796_at,NTRK2,neurotrophic receptor tyrosine kinase 2,-4.245,6.541
218039_at,NUSAP1,nucleolar and spindle associated protein 1,3.244,7.293
205552_s_at,OAS1,2'-5'-oligoadenylate synthetase 1,3.213,5.275
212768_s_at,OLFM4,olfactomedin 4,-3.062,7.119
206825_at,OXTR,oxytocin receptor,-5.803,13.523
204088_at,P2RX4,purinergic receptor P2X 4,3.026,10.175
1564494_s_at,P4HB,prolyl 4-hydroxylase subunit beta,5.306,14.256
209791_at,PADI2,peptidyl arginine deiminase 2,-3.366,7.707
213661_at,PAMR1,peptidase domain containing associated with muscle regeneration 1,-3.44,8.556
235165_at,PARD6B,par-6 family cell polarity regulator beta,3.678,9.967
225468_at,PATL1,"PAT1 homolog 1, processing body mRNA decay factor",3.279,12.536
208383_s_at,PCK1,phosphoenolpyruvate carboxykinase 1,-3.719,8.836
219295_s_at,PCOLCE2,procollagen C-endopeptidase enhancer 2,-5.41,11.76
242662_at,PCSK6,proprotein convertase subtilisin/kexin type 6,3.227,6.144
205593_s_at,PDE9A,phosphodiesterase 9A,-3.32,11.933
225207_at,PDK4,pyruvate dehydrogenase kinase 4,-3.1,6.224
203242_s_at,PDLIM5,PDZ and LIM domain 5,3.331,11.309
216804_s_at,PDLIM5,PDZ and LIM domain 5,3.72,10.58
228618_at,PEAR1,platelet endothelial aggregation receptor 1,-3.076,13.155
217356_s_at,PGK1,phosphoglycerate kinase 1,3.336,9.461
230595_at,PGM5-AS1,PGM5 antisense RNA 1,-3.846,11.593
228554_at,PGR,progesterone receptor,3.36,4.191
201397_at,PHGDH,phosphoglycerate dehydrogenase,-3.081,10.062
215236_s_at,PICALM,phosphatidylinositol binding clathrin assembly protein,3.649,8.629
216593_s_at,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,3.435,13.805
226147_s_at,PIGR,polymeric immunoglobulin receptor,-7.815,8.978
1563111_a_at,PIGX,phosphatidylinositol glycan anchor biosynthesis class X,3.415,13.895
1553694_a_at,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,3.135,9.465
226094_at,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,3.862,13.502
229713_at,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,4.707,12.786
206742_at,PIR-FIGF///FIGF,PIR-FIGF readthrough///c-fos induced growth factor,-4.907,15.271
223551_at,PKIB,"protein kinase (cAMP-dependent, catalytic) inhibitor beta",4.155,7.293
227419_x_at,PLAC9,placenta specific 9,-3.676,10.353
211668_s_at,PLAU,"plasminogen activator, urokinase",4.574,9.366
210845_s_at,PLAUR,"plasminogen activator, urokinase receptor",3.875,12.111
216971_s_at,PLEC,plectin,3.064,8.976
222699_s_at,PLEKHF2,pleckstrin homology and FYVE domain containing 2,4.967,20.248
205913_at,PLIN1,perilipin 1,-6,9.654
228409_at,PLIN4,perilipin 4,-5.97,12.772
236044_at,PLPP4,phospholipid phosphatase 4,4.239,8.555
238455_at,PLXDC2,plexin domain containing 2,3.471,10.471
204285_s_at,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,3.468,6.976
201695_s_at,PNP,purine nucleoside phosphorylase,3.621,13.294
218229_s_at,POGK,pogo transposable element with KRAB domain,3.261,10.13
218866_s_at,POLR3K,RNA polymerase III subunit K,3.859,15.266
210830_s_at,PON2,paraoxonase 2,3.205,8.905
1555778_a_at,POSTN,periostin,5.693,13.925
208510_s_at,PPARG,peroxisome proliferator activated receptor gamma,-3.109,6.978
201490_s_at,PPIF,peptidylprolyl isomerase F,4.032,12.243
1566303_s_at,PPP1R11,protein phosphatase 1 regulatory inhibitor subunit 11,3.276,11.01
227006_at,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A,-4.75,17.606
205478_at,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A,-5.113,12.009
225165_at,PPP1R1B,protein phosphatase 1 regulatory inhibitor subunit 1B,-3.57,4.768
202166_s_at,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2,3.18,13.086
222351_at,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta,-3.145,10.011
1554365_a_at,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma,3.043,13.557
224909_s_at,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",3.551,14.286
230087_at,PRIMA1,proline rich membrane anchor 1,-3.175,12.053
200604_s_at,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,3.333,10.728
210543_s_at,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",3.26,11.995
204304_s_at,PROM1,prominin 1,-4.124,4.318
214545_s_at,PROSC,proline synthetase cotranscribed homolog (bacterial),3.108,10.778
209162_s_at,PRPF4,pre-mRNA processing factor 4,4.231,13.303
211090_s_at,PRPF4B,pre-mRNA processing factor 4B,4.495,14.273
226961_at,PRR15,proline rich 15,3.765,13.54
205991_s_at,PRRX1,paired related homeobox 1,3.192,6.543
203354_s_at,PSD3,pleckstrin and Sec7 domain containing 3,4.227,5.302
207782_s_at,PSEN1,presenilin 1,3.829,14.206
218302_at,PSENEN,presenilin enhancer gamma-secretase subunit,4.381,15.339
218967_s_at,PTER,phosphotriesterase related,3.739,11.647
209465_x_at,PTN,pleiotrophin,-3.5,7.583
209466_x_at,PTN,pleiotrophin,-3.681,7.663
211737_x_at,PTN,pleiotrophin,-3.817,7.505
200730_s_at,PTP4A1,"protein tyrosine phosphatase type IVA, member 1",4.186,12.436
216915_s_at,PTPN12,"protein tyrosine phosphatase, non-receptor type 12",3.067,10.45
207791_s_at,RAB1A,"RAB1A, member RAS oncogene family",3.659,12.235
217763_s_at,RAB31,"RAB31, member RAS oncogene family",3.63,14.548
217764_s_at,RAB31,"RAB31, member RAS oncogene family",3.14,14.093
206113_s_at,RAB5A,"RAB5A, member RAS oncogene family",4.069,14.037
214552_s_at,RABEP1,"rabaptin, RAB GTPase binding effector protein 1",3.209,8.693
202583_s_at,RANBP9,RAN binding protein 9,3.803,14.085
229905_at,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1,3.624,12.26
227897_at,RAP2B,"RAP2B, member of RAS oncogene family",3.325,10.998
210051_at,RAPGEF3,Rap guanine nucleotide exchange factor 3,-3.674,12.244
210621_s_at,RASA1,RAS p21 protein activator 1,3.457,10.472
206850_at,RASL10A,RAS like family 10 member A,-3.023,7.885
213901_x_at,RBFOX2,"RNA binding protein, fox-1 homolog 2",3.047,9.112
222496_s_at,RBM47,RNA binding motif protein 47,3.601,14.772
228030_at,RBM6,RNA binding motif protein 6,3.725,8.008
219140_s_at,RBP4,retinol binding protein 4,-7.199,13.923
238066_at,RBP7,retinol binding protein 7,-4.337,8.766
204364_s_at,REEP1,receptor accessory protein 1,3.715,6.405
206036_s_at,REL,"REL proto-oncogene, NF-kB subunit",3.232,12.435
205923_at,RELN,reelin,-4.096,9.166
244745_at,RERG,RAS like estrogen regulated growth inhibitor,3.118,7.729
202988_s_at,RGS1,regulator of G-protein signaling 1,4.028,7.618
216834_at,RGS1,regulator of G-protein signaling 1,3.846,7.036
1555725_a_at,RGS5,regulator of G-protein signaling 5,3.128,5.271
1555814_a_at,RHOA,ras homolog family member A,4.234,9.17
1553962_s_at,RHOB,ras homolog family member B,4.151,9.418
204951_at,RHOH,ras homolog family member H,3.417,4.753
236293_at,RHOH,ras homolog family member H,3.297,5.075
202129_s_at,RIOK3,RIO kinase 3,3.021,12.622
209882_at,RIT1,Ras like without CAAX 1,3.021,14.615
236224_at,RIT1,Ras like without CAAX 1,3.376,12.421
229024_at,RNF150,ring finger protein 150,-3.322,11.195
236038_at,RNF150,ring finger protein 150,-3.965,15.655
224191_x_at,ROPN1,rhophilin associated tail protein 1,-3.188,8.172
231535_x_at,ROPN1,rhophilin associated tail protein 1,-4.045,11.272
220425_x_at,ROPN1B,rhophilin associated tail protein 1B,-4.07,9.773
218209_s_at,RPRD1A,regulation of nuclear pre-mRNA domain containing 1A,3.21,14.184
229803_s_at,RPS10-NUDT3///NUDT3,RPS10-NUDT3 readthrough///nudix hydrolase 3,3.46,9.624
201476_s_at,RRM1,ribonucleotide reductase catalytic subunit M1,3.152,14.08
209773_s_at,RRM2,ribonucleotide reductase regulatory subunit M2,3.433,5.912
228186_s_at,RSPO3,R-spondin 3,-4.254,8.177
209006_s_at,RSRP1,arginine and serine rich protein 1,3.365,12.7
229334_at,RUFY3,RUN and FYVE domain containing 3,3.319,11.742
232231_at,RUNX2,runt related transcription factor 2,3.243,11.958
209686_at,S100B,S100 calcium binding protein B,-5.891,21.704
204351_at,S100P,S100 calcium binding protein P,3.889,4.525
208607_s_at,SAA2-SAA4///SAA2///SAA1,SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1,-5.647,10.926
214456_x_at,SAA2///SAA1,serum amyloid A2///serum amyloid A1,-4.637,11.234
1555618_s_at,SAE1,SUMO1 activating enzyme subunit 1,3.575,13.769
228653_at,SAMD5,sterile alpha motif domain containing 5,-3.593,12.669
1554482_a_at,SAR1B,secretion associated Ras related GTPase 1B,3.138,16.622
229839_at,SCARA5,scavenger receptor class A member 5,-6.538,15.763
235849_at,SCARA5,scavenger receptor class A member 5,-5.674,13.907
201646_at,SCARB2,scavenger receptor class B member 2,3.8,10.627
220232_at,SCD5,stearoyl-CoA desaturase 5,-3.844,19.999
230378_at,SCGB3A1,secretoglobin family 3A member 1,-5.27,8.741
210432_s_at,SCN3A,sodium voltage-gated channel alpha subunit 3,-3.086,13.696
236359_at,SCN4B,sodium voltage-gated channel beta subunit 4,-4.039,13.322
223341_s_at,SCOC,short coiled-coil protein,3.099,12.136
219197_s_at,SCUBE2,"signal peptide, CUB domain and EGF like domain containing 2",3.365,4.88
216591_s_at,SDHC,succinate dehydrogenase complex subunit C,3.999,14.534
222717_at,SDPR,serum deprivation response,-4.659,10.433
216392_s_at,SEC23IP,SEC23 interacting protein,3.124,9.72
222385_x_at,SEC61A1,Sec61 translocon alpha 1 subunit,4.428,12.932
224250_s_at,SECISBP2,SECIS binding protein 2,3.086,8.78
217811_at,SELT,selenoprotein T,3.109,11.257
219689_at,SEMA3G,semaphorin 3G,-3.817,10.524
1554747_a_at,SEPT2,septin 2,4.625,16.639
200778_s_at,SEPT2,septin 2,3.859,14.285
211769_x_at,SERINC3,serine incorporator 3,3.067,7.807
1568765_at,SERPINE1,serpin family E member 1,3.543,7.453
202628_s_at,SERPINE1,serpin family E member 1,3.681,6.62
1569106_s_at,SETD5,SET domain containing 5,3.999,15.84
202035_s_at,SFRP1,secreted frizzled related protein 1,-5.515,10.33
202036_s_at,SFRP1,secreted frizzled related protein 1,-5.736,8.522
202037_s_at,SFRP1,secreted frizzled related protein 1,-5.184,5.751
212322_at,SGPL1,sphingosine-1-phosphate lyase 1,3.032,12.228
201311_s_at,SH3BGRL,SH3 domain binding glutamate rich protein like,4.012,10.466
211565_at,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3",-6.207,25.764
209339_at,SIAH2,siah E3 ubiquitin protein ligase 2,4.142,13.014
208078_s_at,SIK1,salt inducible kinase 1,3.41,6.303
230748_at,SLC16A6,solute carrier family 16 member 6,3.678,6.359
230003_at,SLC16A7,solute carrier family 16 member 7,-3.613,11.598
213664_at,SLC1A1,solute carrier family 1 member 1,4.451,5.544
230494_at,SLC20A1,solute carrier family 20 member 1,3.148,12.095
232277_at,SLC28A3,solute carrier family 28 member 3,-3.453,4.985
221024_s_at,SLC2A10,solute carrier family 2 member 10,3.529,9.858
218237_s_at,SLC38A1,solute carrier family 38 member 1,3.797,7.896
1555460_a_at,SLC39A6,solute carrier family 39 member 6,6.231,13.714
1556551_s_at,SLC39A6,solute carrier family 39 member 6,5.351,12.241
202089_s_at,SLC39A6,solute carrier family 39 member 6,4.408,10.255
205597_at,SLC44A4,solute carrier family 44 member 4,5.863,21.976
211494_s_at,SLC4A4,solute carrier family 4 member 4,-3.034,7.299
222155_s_at,SLC52A2,solute carrier family 52 member 2,3.158,8.109
219795_at,SLC6A14,solute carrier family 6 member 14,-3.494,7.401
203021_at,SLPI,secretory leukocyte peptidase inhibitor,-3.652,6.824
209257_s_at,SMC3,structural maintenance of chromosomes 3,3.425,9.014
201663_s_at,SMC4,structural maintenance of chromosomes 4,4.724,18.379
227909_at,SMIM10L2B///SMIM10L2A,small integral membrane protein 10 like 2B///small integral membrane protein 10 like 2A,-3.724,14.253
224989_at,SMIM14,small integral membrane protein 14,3.646,10.424
214544_s_at,SNAP23,synaptosome associated protein 23,3.18,9.566
1558093_s_at,SNHG4///MATR3,small nucleolar RNA host gene 4///matrin 3,4.052,12.527
210338_s_at,SNORD14D///SNORD14C///HSPA8,"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8",3.205,8.553
205236_x_at,SOD3,"superoxide dismutase 3, extracellular",-3.595,11.888
218087_s_at,SORBS1,sorbin and SH3 domain containing 1,-3.158,8.309
227826_s_at,SORBS2,sorbin and SH3 domain containing 2,-3.396,7.913
209842_at,SOX10,SRY-box 10,-5.113,13.644
209761_s_at,SP110,SP110 nuclear body protein,3.405,10.309
210117_at,SPAG1,sperm associated antigen 1,3.012,9.421
209875_s_at,SPP1,secreted phosphoprotein 1,3.762,7.133
215918_s_at,SPTBN1,"spectrin beta, non-erythrocytic 1",-3.39,9.792
216202_s_at,SPTLC2,serine palmitoyltransferase long chain base subunit 2,3.123,09.05
229778_at,SPX,spexin hormone,-3.134,8.39
209218_at,SQLE,squalene epoxidase,3.504,12.685
201858_s_at,SRGN,serglycin,3.369,6.642
1558254_s_at,SRPK2,SRSF protein kinase 2,3.843,22.738
201742_x_at,SRSF1,serine and arginine rich splicing factor 1,4.843,14.396
210178_x_at,SRSF10,serine and arginine rich splicing factor 10,3.442,13.452
232392_at,SRSF3,serine and arginine rich splicing factor 3,3.279,13.168
228821_at,ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2",3.385,6.613
212009_s_at,STIP1,stress induced phosphoprotein 1,4.099,9.772
231969_at,STOX2,storkhead box 2,-3.576,17.214
212344_at,SULF1,sulfatase 1,5.913,18.568
212353_at,SULF1,sulfatase 1,4.633,16.502
212354_at,SULF1,sulfatase 1,3.372,14.151
233555_s_at,SULF2,sulfatase 2,4.543,14.16
227182_at,SUSD3,sushi domain containing 3,4.758,11.593
212730_at,SYNM,synemin,-5.427,10.341
201259_s_at,SYPL1,synaptophysin like 1,3.047,10.034
210284_s_at,TAB2,TGF-beta activated kinase 1/MAP3K7 binding protein 2,3.218,12.777
210978_s_at,TAGLN2,transgelin 2,3.035,8.304
212956_at,TBC1D9,TBC1 domain family member 9,3.143,11.537
212960_at,TBC1D9,TBC1 domain family member 9,4.469,16.108
221428_s_at,TBL1XR1,transducin (beta)-like 1 X-linked receptor 1,3.282,10.013
218872_at,TESC,tescalcin,-3.638,13.156
203400_s_at,TF,transferrin,-4.87,10.982
214063_s_at,TF,transferrin,-5.13,16.509
204654_s_at,TFAP2A,transcription factor AP-2 alpha,3.136,9.885
203085_s_at,TGFB1,transforming growth factor beta 1,3.035,11.034
201109_s_at,THBS1,thrombospondin 1,3.815,13.058
229476_s_at,THRSP,thyroid hormone responsive,-4.648,4.937
208850_s_at,THY1,Thy-1 cell surface antigen,3.42,9.774
201149_s_at,TIMP3,TIMP metallopeptidase inhibitor 3,3.708,6.584
206243_at,TIMP4,TIMP metallopeptidase inhibitor 4,-5.134,9.541
222399_s_at,TM9SF3,transmembrane 9 superfamily member 3,3.127,14.111
222904_s_at,TMC5,transmembrane channel like 5,4.036,7.626
240304_s_at,TMC5,transmembrane channel like 5,3.466,6.308
204426_at,TMED2,transmembrane p24 trafficking protein 2,4.089,12.561
204427_s_at,TMED2,transmembrane p24 trafficking protein 2,5.014,14.22
224321_at,TMEFF2,transmembrane protein with EGF like and two follistatin like domains 2,-3.733,14.055
219230_at,TMEM100,transmembrane protein 100,-4.121,12.273
232313_at,TMEM132C,transmembrane protein 132C,-3.067,9.595
226825_s_at,TMEM165,transmembrane protein 165,4.24,9.029
220477_s_at,TMEM230,transmembrane protein 230,3.815,10.249
223005_s_at,TMEM245,transmembrane protein 245,3.669,11.589
232591_s_at,TMEM30A,transmembrane protein 30A,3.723,8.965
227190_at,TMEM37,transmembrane protein 37,-3.104,6.616
