ID,Gene.symbol,Gene.title,log2(fold change),-log10(Pvalue)
205363_at,BBOX1,gamma-butyrobetaine hydroxylase 1,-3.821,9.785
222891_s_at,BCL11A,B-cell CLL/lymphoma 11A,-3.316,5.744
201262_s_at,BGN,biglycan,4.538,13.51
201169_s_at,BHLHE40,basic helix-loop-helix family member e40,5.587,15.134
201170_s_at,BHLHE40,basic helix-loop-helix family member e40,3.037,12.17
229975_at,BMPR1B,bone morphogenetic protein receptor type 1B,6.128,6.272
242579_at,BMPR1B,bone morphogenetic protein receptor type 1B,6.001,5.566
228434_at,BTNL9,butyrophilin like 9,-4.055,10.07
229985_at,BTNL9,butyrophilin like 9,-5.112,11.777
230992_at,BTNL9,butyrophilin like 9,-3.655,13.744
217188_s_at,C14orf1,chromosome 14 open reading frame 1,3.804,14.919
223484_at,C15orf48,chromosome 15 open reading frame 48,3.121,3.947
1568954_s_at,C16orf72,chromosome 16 open reading frame 72,3.373,17.822
1555226_s_at,C1orf43,chromosome 1 open reading frame 43,4.242,10.082
1555229_a_at,C1S,"complement component 1, s subcomponent",4.848,7.173
223623_at,C2orf40,chromosome 2 open reading frame 40,-5.174,6.676
226524_at,C3orf38,chromosome 3 open reading frame 38,3.084,16.343
208451_s_at,C4B_2///C4B///C4A,"complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)",3.063,7.727
220038_at,C8orf44-SGK3///SGK3,C8orf44-SGK3 readthrough///serum/glucocorticoid regulated kinase family member 3,3.357,7.739
204508_s_at,CA12,carbonic anhydrase 12,04.09,10.22
210735_s_at,CA12,carbonic anhydrase 12,6.015,17.043
206209_s_at,CA4,carbonic anhydrase 4,-4.691,13.962
210108_at,CACNA1D,calcium voltage-gated channel subunit alpha1 D,4.945,13.566
243334_at,CACNA1D,calcium voltage-gated channel subunit alpha1 D,3.798,8.134
201617_x_at,CALD1,caldesmon 1,3.436,9.995
214845_s_at,CALU,calumenin,4.243,15.879
203357_s_at,CAPN7,calpain 7,3.188,12.2
230793_at,CARMIL1,capping protein regulator and myosin 1 linker 1,3.25,9.993
219342_at,CASD1,CAS1 domain containing 1,3.013,7.312
243386_at,CASZ1,castor zinc finger 1,3.124,12.023
223316_at,CCDC3,coiled-coil domain containing 3,-3.028,9.081
212886_at,CCDC69,coiled-coil domain containing 69,-3.862,11.03
205392_s_at,CCL15-CCL14///CCL14,CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14,-3.3,4.834
224027_at,CCL28,C-C motif chemokine ligand 28,-4.383,6.601
238750_at,CCL28,C-C motif chemokine ligand 28,-3.603,5.732
205114_s_at,CCL3L3///CCL3L1///CCL3,C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3,3.224,9.179
211559_s_at,CCNG2,cyclin G2,5.427,14.922
201946_s_at,CCT2,chaperonin containing TCP1 subunit 2,3.771,12.687
209772_s_at,CD24,CD24 molecule,3.198,7.235
1552509_a_at,CD300LG,CD300 molecule like family member g,-6.153,15.446
