Gene Symbol,log2FC,p-value,oncogene_score
RELN,-4.17925,4.59548e-06,0.0875796
MATN3,3.01439,0.00558874,0.038307
PTX3,-3.20745,3.63591e-06,0.124977
ADRB2,-2.59617,0.000567752,0.143652
NME5,2.83518,0.00239503,0.00715214
CA4,-5.72078,0.000194426,0.0509165
CILP,3.40107,0.000326762,0.0795008
TIMP4,-4.66316,0.00117754,0.0500957
MICB,2.3521,0.000327858,0.0571734
EGF,-2.33586,0.000369892,0.11063
ADH1C,-3.4223,1.40052e-10,0.0394968
OPHN1,-2.78845,1.07391e-13,
TCTN2,-3.07323,8.13027e-08,
MIA,-3.63155,1.10518e-09,0.00969353
EDNRB,-2.4634,0.000763797,0.102193
FIGF,-4.77322,5.1426e-08,
OXTR,-5.02032,1.86237e-12,0.1061
RASL10A,-4.26996,9.68021e-05,0.0135073
TAT,-2.53007,0.00131907,0.0954778
AQP7,-3.269,0.000162727,0.0393074
ALDH1A2,-2.62974,6.39052e-07,0.0173721
LEP,-8.42084,0.000115748,0.126757
SAA2-SAA4,-3.32712,0.000291306,
ADIPOQ,-5.39523,8.6899e-07,0.12372
KDELR3,4.1072,1.19872e-07,0.00611479
BLNK,2.62946,0.00021062,0.0780325
SERPINH1,2.41812,4.28192e-06,0.0841328
FAT2,-2.48262,8.20015e-09,0.0189751
LIPE,-4.22501,1.1766e-05,0.0230398
PCK1,-5.39219,0.00786679,0.0297788
EDN3,-3.41841,8.38033e-05,0.0944654
PPARG,-4.20499,0.00267325,0.456566
HIST1H2BH,4.07545,0.00767661,
H2BFS,4.54796,0.00582459,
LCP1,2.38755,0.00031114,0.418953
CLDND1,2.41345,6.63992e-08,0.0380386
CRIP2,2.4388,0.000306273,0.0995089
CDC5L,-4.20149,4.68484e-05,0.0332631
FAM107A,-3.87925,1.39065e-07,0.0422057
CTGF,2.60455,3.56426e-05,
AKR1C3,-3.83872,0.000448765,0.0384937
PRPF4,3.54445,7.2044e-07,0.0310544
GPM6B,-2.65767,3.27779e-09,0.035318
FOS,2.40992,0.00115577,0.119372
MPDU1,2.34376,1.24026e-06,
LAMB3,-3.30832,7.2759e-10,0.030057
CRYAB,-4.33966,8.35129e-07,0.0606844
RGS16,2.87544,0.00182291,0.0536054
SIAH2,4.00111,8.45068e-05,0.520162
KRT14,-3.26415,3.46618e-11,0.124285
LOC101928625,2.44261,4.31554e-07,
DUSP5,3.87743,5.52937e-05,0.0556122
NSG1,-3.15511,3.60261e-07,0.120692
LDLRAD4,2.76153,0.000277228,0.316181
ADH1B,-4.45129,0.000278809,0.0691995
CES1,-4.403,8.1768e-05,0.0354839
S100B,-6.56328,0.000129409,0.113127
FBP1,2.60566,1.71177e-05,0.105308
CDKN3,2.34459,0.00877079,0.0877454
CHRDL1,-4.15541,9.24159e-07,0.0397191
RRM2,4.39165,0.00528159,0.138103
CXCL2,-2.56496,0.00225547,0.107018
PADI2,-3.38032,1.86623e-09,0.103024
HIST1H2BK,2.66909,0.00551817,
LPHN3,-2.3468,1.49473e-05,
SPP1,3.89615,0.00140786,0.123673
FAP,5.00771,1.44512e-06,0.121286
BLOC1S1-RDH5,-4.23787,0.00791288,
SPAG1,3.41509,0.0035095,0.0821708
DEFB1,-3.00507,8.90932e-08,0.0523369
SCN3A,-3.84988,1.35293e-06,0.395544
MYO6,4.29781,0.00609298,0.0690008
CDK1,3.17105,0.00205869,0.131965
MFGE8,-2.74159,7.50628e-12,0.112596
RASA1,2.83051,4.49897e-08,0.441467
ATG5,3.45481,2.15625e-06,0.0737736
TTC39A,2.96699,1.20434e-07,0.0114613
LGALS8,3.22663,0.00565083,0.104233
MAX,2.77482,6.30946e-06,0.552105
TRAC,2.5195,0.00876381,0.0800834
TAGLN2,2.42855,2.10605e-05,0.0958748
PRUNE,2.69158,6.67143e-05,
HSPA4,2.64702,0.00108017,0.396527
PRPF4B,4.17676,3.71923e-10,
MCAM,-2.74291,1.79132e-06,0.114302
TYRO3,-2.36773,0.00112229,0.125156
MSH6,3.06411,1.89387e-07,0.670662
SLC4A4,-4.57543,0.000827828,0.0327642
MAP3K7,2.7326,1.4218e-07,0.0830098
HSPA2,2.30274,0.00112598,0.0845052
SH3GL3,-6.90362,5.61171e-06,0.00147832
CD46,4.43259,7.79539e-05,0.0206253
HOPX,2.83312,5.39611e-05,0.0831115
IL13RA1,4.26687,4.64609e-07,0.0180152
AKR1C2,-5.03257,0.00119374,0.088657
PLAU,5.33635,0.00349558,0.109663
NCALD,-3.12573,1.1387e-10,0.100699
ANXA9,3.96553,0.00016505,0.0957625
PTN,-3.76199,7.36449e-05,0.120785
KPNA2,2.4412,2.2772e-07,0.110536
CDKN2C,-2.48961,0.00272883,0.408338
UBXN4,4.95901,1.67539e-08,
CAV1,-2.51334,4.11909e-05,0.125377
IL6ST,2.91302,0.000117712,0.44472
JUP,-2.49297,6.14075e-07,0.0317062
SGPL1,2.92402,2.15152e-06,0.0559011
SULF1,3.50803,2.1805e-05,0.105679
GPRC5A,3.84101,1.58198e-05,0.0977698
TPM4,2.89478,7.76332e-07,0.282905
