Gene Symbol,log2FC,p-value,oncogene_score
RHBDD2,2.46136,0.000192338,0.0309979
CTBP1-AS2,-2.70508,0.00102631,
PVRL2,4.14665,0.000115845,
TMEM132C,-4.09595,0.00034345,0.0371344
CREB5,-2.55311,0.0049037,0.225645
TMEM30A,4.33462,0.002241,0.00295664
MREG,3.47903,5.36489e-05,0.0134113
LOC401052,-3.11551,1.36486e-06,
LINC00266-1,-2.58118,5.62589e-06,
FANK1,2.30584,0.00615498,0.00951937
LOC100271840,-2.36023,0.000494554,
COL12A1,3.04205,0.00190263,0.0367934
SLC40A1,2.34369,0.000659691,0.0648015
PNKD,2.34564,0.00657072,0.0099185
CPSF2,2.49064,1.91587e-09,0.00422964
NFIB,-3.22334,5.2548e-07,0.515892
SULF2,4.41833,3.11394e-05,0.111249
TRAPPC11,2.76006,3.36046e-09,
WDFY1,2.66024,7.0826e-07,0.00147832
SLAIN2,2.79232,0.00307769,
XRN2,3.37676,1.23403e-09,0.00990577
PTPLAD1,2.58559,1.49679e-09,
ACSS2,-2.46131,8.83529e-09,0.0867557
TRPS1,2.90134,0.000102727,0.528977
UHMK1,3.60288,3.28737e-05,0.00676881
INPP4B,2.37585,0.000271399,0.487361
LEO1,2.50917,2.2712e-07,0.0238379
MAN2A1,3.86506,0.00441909,0.00432203
PPP1R1A,-4.33579,0.00521689,0.0215286
PARD6B,3.5364,0.00193025,0.0162253
LOC100190986,3.3467,0.00283603,
FOXP2,-2.87942,2.354e-08,0.105564
RPS15A,-2.37751,2.0362e-09,0.0232397
ADAMTS5,-2.85643,2.04339e-18,0.0523067
GSTCD,2.60904,1.0068e-08,
HRCT1,-2.85477,6.79448e-05,0.0060366
LOC100506538,2.80521,5.20581e-06,
SH3KBP1,-2.50393,9.38543e-08,0.0705737
GXYLT2,4.04624,0.000233828,0.00295664
KDM4B,3.41329,0.00156191,0.0777503
WISP1,4.41052,8.26382e-05,
SCARA5,-5.77364,1.97263e-07,0.0414511
MFI2,-2.53022,3.06362e-09,
FABP4,-6.40614,2.91697e-05,0.127207
RNF150,-4.31242,9.97562e-07,0.0157461
PPAPDC1A,4.93594,0.000316853,
MMRN2,-2.82081,1.54752e-08,0.00887987
SCN4B,-3.8447,2.60094e-13,0.0482462
DEGS2,3.08247,0.000127207,0.0113496
LARP6,-3.18783,0.000798665,0.0827891
LOC100288911,-2.42017,8.41005e-09,
FOXA1,5.48291,1.11782e-06,0.720848
LINC00993,2.50416,0.000350544,0.0696422
ANKRD20A12P,-3.43165,2.82346e-12,
FAM150B,-2.82089,0.00441089,
GRAMD3,-2.37622,3.12909e-09,
GPIHBP1,-4.95228,4.78559e-07,0.0606951
RBP7,-4.0387,1.28502e-07,0.103418
PLXDC2,3.83641,0.000163665,0.00793656
KIF26B,4.61655,2.78322e-05,0.101129
SAMD12,2.54833,1.96361e-06,0.00757639
COLCA1,-2.67639,8.89244e-15,0.00453917
PAPD4,2.76072,6.41869e-06,
CCL28,-2.43038,1.21555e-05,0.0935209
RNF145,-2.57913,4.22129e-08,0.0341664
CCAR1,2.77564,0.00348639,0.0516915
ABCA9,-2.43541,6.27801e-06,0.083525
KLK7,-3.16845,5.68866e-06,0.0925447
TUSC5,-5.9023,3.86102e-06,
SLC13A2,-2.96477,1.63375e-07,0.0460079
TPBG,2.34331,0.000505464,0.0788511
TLCD2,-2.36998,8.69629e-05,0.00493644
UQCRC2,3.00989,9.14775e-06,0.00685467
FLJ31306,2.89108,1.21101e-06,
XDH,-4.61929,1.19317e-06,0.0508266
TRIM45,2.30094,0.00261892,0.0237276
MMAB,-2.47408,3.34635e-06,0.00792543
CD36,-5.63357,6.3697e-06,0.120903
TMED8,2.44839,0.000329695,0.014044
PCSK6,2.87754,0.00270668,0.0309517
LOC642236,-3.15443,5.3596e-05,
PGGT1B,2.58602,3.61615e-09,0.170098
FAM13A-AS1,-2.56222,1.66464e-08,
CACNA1D,4.48828,0.000812476,0.573775
CSNK1A1,3.90952,0.000243093,0.0175744
KIAA1324,3.69501,0.0053,
CASZ1,2.89804,2.90515e-07,0.292929
ZNF652,4.65289,0.00195237,0.0559742
WDR86,-2.79727,3.11967e-05,0.0245585
SMIM14,3.12596,0.0001245,
FRG1B,-6.78838,1.4746e-06,
BRAF,2.35718,0.000253291,0.538512
MORF4L2,3.6367,0.00186741,0.048687
KLB,-5.02235,0.00516588,0.0288667
SREK1,2.56761,2.88712e-09,
TSHZ2,-2.59405,2.29771e-06,0.0776542
LOC100507311,-3.71131,6.49782e-13,
RERG,2.83455,0.000454719,0.0774916
GDPD5,-3.26301,6.54873e-08,0.0269424
NPR1,-4.67096,7.62349e-07,0.0314509
SF3A2,-2.8045,2.65233e-07,0.0791745
HSD17B6,2.8472,0.00149935,0.0344694
COL11A1,8.59334,0.0018971,0.121424
CELSR1,3.96578,1.00855e-05,0.0097866
EHD2,-2.31559,2.43484e-08,0.107684
RBM12B,2.30441,8.55181e-07,0.00758418
COL8A2,3.45339,4.71046e-05,0.0151989
KCTD14,-3.44545,1.86949e-09,0.0352787
CX3CL1,-4.34551,1.60939e-07,0.07017
