Espécie
Alces
Anfíbios
Arbustos
Árvores
Aves de Rapina
Bisão
Camundongos
Castores
Cervos
Coelhos
Coiotes
Corujas
Corvos
Doninhas
Esquilos
Gramíneas
Insetos
Lobos
Lontras
Morcegos
Pássaros
Patos
Peixes
Raposas
Ratos-almiscarados
Répteis
Rios
Texugos
Ursos
