Entrez ID,Gene Symbol,LogFC,p-value,oncogeneScore
1577,CYP3A5,-3.51143,4.6935e-06,0.00295664
5650,KLK7,-4.45679,1.03373e-07,0.0817982
7286,TUFT1,-2.64897,2.50561e-09,
1384,CRAT,-2.38257,6.19764e-05,0.00610587
7704,ZBTB16,-2.50892,2.6877e-05,0.520464
3848,KRT1,-3.69792,3.30453e-07,0.0845099
7053,TGM3,-3.10798,2.08779e-07,0.417338
7051,TGM1,-4.40948,9.88703e-08,0.00952522
10874,NMU,-3.9094,4.81354e-06,0.00794597
1825,DSC3,-4.55812,3.17889e-07,0.0158251
9914,ATP2C2,-3.03454,1.81034e-07,0.0036958
6665,SOX15,-3.2395,4.41789e-07,
63928,CHP2,-5.67223,1.43283e-07,0.0155224
2709,GJB5,-4.66866,3.01521e-09,0.0200747
9635,CLCA2,-3.79866,2.01117e-05,0.00147832
154,ADRB2,-2.54809,1.46097e-05,0.344252
1041,CDSN,-4.9542,1.56376e-07,0.00501766
8581,LY6D,-4.79645,1.76287e-08,0.00295664
4250,SCGB2A2,-5.46475,1.08235e-06,0.0092395
288,ANK3,-2.71953,4.04839e-06,0.00946359
3963,LGALS7,-4.41236,9.30129e-09,0.0744463
8710,SERPINB7,-4.74693,6.37856e-06,0.0036958
23205,ACSBG1,-4.23063,0.000119317,0.0192538
5304,PIP,-5.6941,1.94961e-06,0.00852867
4051,CYP4F2,-3.6625,0.000313344,0.0357088
66002,CYP4F12,-3.54101,5.72065e-07,0.0366328
1474,CST6,-5.20923,5.16713e-07,0.0831578
5017,OVOL1,-3.81813,2.77529e-09,0.00441443
8909,ENDOU,-4.53153,8.98215e-08,0.00443496
1828,DSG1,-4.6721,1.5115e-06,0.0854055
3034,HAL,-2.9338,0.00075191,0.372256
2812,GP1BB,-2.61821,2.01557e-05,
3881,KRT31,-2.63433,6.79487e-07,0.0145087
10647,SCGB1D2,-4.94133,1.19978e-05,0.0103072
9119,KRT75,-3.02325,0.00023207,
445,ASS1,-2.95812,5.35133e-08,0.0285148
25833,POU2F3,-4.46638,2.23222e-05,0.0167563
80740,LY6G6C,-4.28824,1.19174e-09,
1775,DNASE1L2,-3.49187,6.50783e-07,
239,ALOX12,-2.48332,2.04781e-08,0.0289933
6564,SLC15A1,-3.55894,5.73121e-07,
1823,DSC1,-5.19213,4.12514e-07,0.00608411
242,ALOX12B,-4.39046,8.98235e-08,
5646,PRSS3,-2.74641,1.23055e-07,
26239,LCE2B,-4.2069,1.05459e-05,0.0036958
4014,LOR,-4.80399,1.62248e-08,
10321,CRISP3,-3.49671,8.374e-06,
3849,KRT2,-5.02597,1.15497e-09,0.0125247
10850,CCL27,-4.10942,1.75151e-05,0.0369423
2196,FAT2,-2.88552,7.22252e-06,0
3883,KRT33A,-3.20194,0.000821868,
100133941,CD24,-2.6685,0.000576552,0.0878645
3854,KRT6B,-3.58569,7.0276e-05,0.0105405
10551,AGR2,-3.7171,7.65499e-06,0.169664
688,KLF5,-3.63797,3.5367e-06,0.0286977
2810,SFN,-5.28182,4.26792e-11,0.0241165
563,AZGP1,-2.62352,0.00012919,0.0085722
3861,KRT14,-3.74016,1.58131e-07,0.0209507
23037,PDZD2,-2.61512,3.39044e-06,0.00201216
2625,GATA3,-4.92744,9.62667e-05,0.428633
1646,AKR1C2,-3.29821,0.000564403,0.00367527
5655,KLK10,-3.89953,5.10548e-08,0.00591328
11187,PKP3,-2.82666,5.27686e-10,0.00690343
29984,RHOD,-3.67303,1.37833e-07,0.0148551
3205,HOXA10-HOXA9,-3.32582,6.07365e-06,
8416,ANXA9,-2.61354,0.00032433,0.0807206
55806,HR,-2.36699,2.81181e-06,0.0219243
1944,EFNA3,-3.43137,3.43962e-09,0.00478401
