#node1,node2,node1_string_id,node2_string_id,combined_score
KRT75,KRT79,9606.ENSP00000252245,9606.ENSP00000328358,0.4
KRT77,KRT78,9606.ENSP00000342710,9606.ENSP00000306261,0.4
KRT77,KRT79,9606.ENSP00000342710,9606.ENSP00000328358,0.4
KRT77,KRT80,9606.ENSP00000342710,9606.ENSP00000378292,0.4
KRT78,KRT79,9606.ENSP00000306261,9606.ENSP00000328358,0.4
KRT78,KRT80,9606.ENSP00000306261,9606.ENSP00000378292,0.4
KRT79,KRT80,9606.ENSP00000328358,9606.ENSP00000378292,0.4
LCE1B,TGM1,9606.ENSP00000353203,9606.ENSP00000206765,0.546
LCE1B,SPRR1B,9606.ENSP00000353203,9606.ENSP00000306461,0.499
LCE1B,PPL,9606.ENSP00000353203,9606.ENSP00000340510,0.499
LCE1B,SPRR1A,9606.ENSP00000353203,9606.ENSP00000357751,0.499
LCE1B,LOR,9606.ENSP00000353203,9606.ENSP00000357731,0.499
LCE1B,SPRR2G,9606.ENSP00000353203,9606.ENSP00000357737,0.499
LCE2B,TGM1,9606.ENSP00000357769,9606.ENSP00000206765,0.499
LCE2B,SPRR1B,9606.ENSP00000357769,9606.ENSP00000306461,0.499
LCE2B,PPL,9606.ENSP00000357769,9606.ENSP00000340510,0.499
LCE2B,LOR,9606.ENSP00000357769,9606.ENSP00000357731,0.499
LCE2B,SPRR2G,9606.ENSP00000357769,9606.ENSP00000357737,0.499
LCE2B,SPRR1A,9606.ENSP00000357769,9606.ENSP00000357751,0.499
LOR,TGM1,9606.ENSP00000357731,9606.ENSP00000206765,0.499
LOR,SPRR1B,9606.ENSP00000357731,9606.ENSP00000306461,0.499
LOR,PPL,9606.ENSP00000357731,9606.ENSP00000340510,0.499
LOR,SPRR2G,9606.ENSP00000357731,9606.ENSP00000357737,0.499
LOR,SPRR1A,9606.ENSP00000357731,9606.ENSP00000357751,0.499
PDZK1,PDZK1IP1,9606.ENSP00000342143,9606.ENSP00000294338,0.457
PKP1,PKP3,9606.ENSP00000263946,9606.ENSP00000331678,0.72
PPL,TGM1,9606.ENSP00000340510,9606.ENSP00000206765,0.499
PPL,SPRR1B,9606.ENSP00000340510,9606.ENSP00000306461,0.593
PPL,SPRR2G,9606.ENSP00000340510,9606.ENSP00000357737,0.499
PPL,SPRR1A,9606.ENSP00000340510,9606.ENSP00000357751,0.499
SCNN1A,TRPM4,9606.ENSP00000353292,9606.ENSP00000252826,0.72
SCNN1A,SCNN1B,9606.ENSP00000353292,9606.ENSP00000345751,0.995
SCNN1B,TRPM4,9606.ENSP00000345751,9606.ENSP00000252826,0.72
SPRR1A,TGM1,9606.ENSP00000357751,9606.ENSP00000206765,0.499
SPRR1B,TGM1,9606.ENSP00000306461,9606.ENSP00000206765,0.499
SPRR2G,TGM1,9606.ENSP00000357737,9606.ENSP00000206765,0.499
